sigla,nome_pregao,isin,classe,price,change,changepct,setor,subsetor,segmento,codcvm,cnpj,razao_social,cnpj_adm,razao_social_adm,sigla4
BBSE3,BBSEGURIDADE ON,BRBBSEACNOR5,AÇÃO,27.24,-0.06,-0.22,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,23159,17.344.597/0001-94,BB SEGURIDADE PARTICIPAÇÕES S.A.,---,---,BBSE
BDLL4,BARDELLA PN,BRBDLLACNPR8,AÇÃO,14.00,0.00,0.00,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,1520,60.851.615/0001-53,BARDELLA S.A. INDUSTRIAS MECANICAS,---,---,BDLL
BEEF3,MINERVA ON,BRBEEFACNOR6,AÇÃO,7.25,0.05,0.69,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,CARNES E DERIVADOS,20931,67.620.377/0001-14,MINERVA S.A.,---,---,BEEF
BEES3,BANESTES ON,BRBEESACNOR9,AÇÃO,4.80,-0.05,-1.03,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1155,28.127.603/0001-78,BANESTES S.A. - BCO EST ESPIRITO SANTO,---,---,BEES
BEES4,BANESTES PN,BRBEESACNPR6,AÇÃO,4.99,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1155,28.127.603/0001-78,BANESTES S.A. - BCO EST ESPIRITO SANTO,---,---,BEES
BGIP3,BANESE ON,BRBGIPACNOR1,AÇÃO,35.00,-1.46,-4.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1120,13.009.717/0001-46,BCO ESTADO DE SERGIPE S.A. - BANESE,---,---,BGIP
BGIP4,BANESE PN,BRBGIPACNPR8,AÇÃO,36.50,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1120,13.009.717/0001-46,BCO ESTADO DE SERGIPE S.A. - BANESE,---,---,BGIP
BIDI4,BANCO INTER PN,BRBIDIACNPR0,AÇÃO,61.56,1.57,2.62,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,24406,00.416.968/0001-01,BANCO INTER S.A.,---,---,BIDI
BIOM3,BIOMM ON,BRBIOMACNOR2,AÇÃO,6.05,-0.13,-2.10,SAÚDE,MEDICAMENTOS E OUTROS PRODUTOS,MEDICAMENTOS E OUTROS PRODUTOS,19305,04.752.991/0001-10,BIOMM S.A.,---,---,BIOM
BKBR3,BK BRASIL ON,BRBKBRACNOR4,AÇÃO,22.00,-0.03,-0.14,CONSUMO CÍCLICO,HOTEIS E RESTAURANTES,RESTAURANTE E SIMILARES,24317,13.574.594/0001-96,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,---,---,BKBR
BMEB3,MERC BRASIL ON,BRBMEBACNOR8,AÇÃO,7.43,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1325,17.184.037/0001-10,BCO MERCANTIL DO BRASIL S.A.,---,---,BMEB
BMEB4,MERC BRASIL PN,BRBMEBACNPR5,AÇÃO,7.20,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1325,17.184.037/0001-10,BCO MERCANTIL DO BRASIL S.A.,---,---,BMEB
BMIN3,MERC INVEST ON,BRBMINACNOR4,AÇÃO,18.02,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1309,34.169.557/0001-72,BCO MERCANTIL DE INVESTIMENTOS S.A.,---,---,BMIN
BMIN4,MERC INVEST PN,BRBMINACNPR1,AÇÃO,16.11,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1309,34.169.557/0001-72,BCO MERCANTIL DE INVESTIMENTOS S.A.,---,---,BMIN
BMKS3,BIC MONARK ON,BRBMKSACNOR9,AÇÃO,274.00,0.00,0.00,CONSUMO CÍCLICO,VIAGENS E LAZER,BICICLETAS,1694,56.992.423/0001-90,BICICLETAS MONARK S.A.,---,---,BMKS
BNBR3,NORD BRASIL ON,BRBNBRACNOR8,AÇÃO,41.08,0.02,0.05,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1228,07.237.373/0001-20,BCO NORDESTE DO BRASIL S.A.,---,---,BNBR
BOBR4,BOMBRIL PN,BRBOBRACNPR3,AÇÃO,2.23,0.00,0.00,CONSUMO NÃO CÍCLICO,PRODUTOS DE USO PESSOAL E DE LIMPEZA,PRODUTOS DE LIMPEZA,12190,50.564.053/0001-03,BOMBRIL S.A.,---,---,BOBR
BPAC11,BTGP BANCO UNT,BRBPACUNT006,AÇÃO,37.71,-0.25,-0.66,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,22616,30.306.294/0001-45,BCO BTG PACTUAL S.A.,---,---,BPAC
BPAC3,BTGP BANCO ON,BRBPACACNOR7,AÇÃO,20.50,1.01,5.18,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,22616,30.306.294/0001-45,BCO BTG PACTUAL S.A.,---,---,BPAC
BPAC5,BTGP BANCO PNA,BRBPACACNPA0,AÇÃO,10.51,-0.48,-4.37,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,22616,30.306.294/0001-45,BCO BTG PACTUAL S.A.,---,---,BPAC
BPAN4,BANCO PAN PN,BRBPANACNPR1,AÇÃO,3.20,-0.01,-0.31,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,21199,59.285.411/0001-13,BCO PAN S.A.,---,---,BPAN
BPAR3,BANPARA ON,BRBPARACNOR5,AÇÃO,182.07,7.05,4.03,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1171,04.913.711/0001-08,BCO ESTADO DO PARA S.A.,---,---,BPAR
BPHA3,BR PHARMA ON,BRBPHAACNOR6,AÇÃO,1.44,0.00,0.00,SAÚDE,COMÉRCIO E DISTRIBUIÇÃO,MEDICAMENTOS E OUTROS PRODUTOS,22500,11.395.624/0001-71,BRASIL PHARMA S.A.,---,---,BPHA
BRAP3,BRADESPAR ON,BRBRAPACNOR5,AÇÃO,27.91,-0.89,-3.09,MATERIAIS BÁSICOS,MINERAÇÃO,MINERAIS METÁLICOS,18724,03.847.461/0001-92,BRADESPAR S.A.,---,---,BRAP
BRAP4,BRADESPAR PN,BRBRAPACNPR2,AÇÃO,31.86,-0.95,-2.90,MATERIAIS BÁSICOS,MINERAÇÃO,MINERAIS METÁLICOS,18724,03.847.461/0001-92,BRADESPAR S.A.,---,---,BRAP
BRDT3,PETROBRAS BR ON,BRBRDTACNOR1,AÇÃO,23.08,0.54,2.40,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO,24295,34.274.233/0001-02,PETROBRAS DISTRIBUIDORA S/A,---,---,BRDT
BRFS3,BRF SA ON,BRBRFSACNOR8,AÇÃO,27.68,0.07,0.25,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,CARNES E DERIVADOS,16292,01.838.723/0001-27,BRF S.A.,---,---,BRFS
BRGE11,ALFA CONSORC PNE,BRBRGEACNPE1,AÇÃO,6.18,0.00,0.00,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,4707,17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,---,---,BRGE
BRGE12,ALFA CONSORC PNG,BRBRGEACNPF8,AÇÃO,3.01,0.00,0.00,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,4707,17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,---,---,BRGE
BRGE3,ALFA CONSORC ON,BRBRGEACNOR6,AÇÃO,4.26,0.00,0.00,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,4707,17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,---,---,BRGE
BRGE5,ALFA CONSORC PNA,BRBRGEACNPA9,AÇÃO,3.61,0.19,5.52,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,4707,17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,---,---,BRGE
BRGE6,ALFA CONSORC PNB,BRBRGEACNPB7,AÇÃO,9.05,0.00,0.00,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,4707,17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,---,---,BRGE
BRGE7,ALFA CONSORC PNC,BRBRGEACNPC5,AÇÃO,5.40,0.26,5.15,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,4707,17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,---,---,BRGE
BRGE8,ALFA CONSORC PND,BRBRGEACNPD3,AÇÃO,5.00,0.00,0.00,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,4707,17.193.806/0001-46,CONSORCIO ALFA DE ADMINISTRACAO S.A.,---,---,BRGE
BRIV3,ALFA INVEST ON,BRBRIVACNOR6,AÇÃO,6.00,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1384,60.770.336/0001-65,BCO ALFA DE INVESTIMENTO S.A.,---,---,BRIV
BRIV4,ALFA INVEST PN,BRBRIVACNPR3,AÇÃO,6.90,-0.11,-1.57,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1384,60.770.336/0001-65,BCO ALFA DE INVESTIMENTO S.A.,---,---,BRIV
BRKM3,BRASKEM ON,BRBRKMACNOR1,AÇÃO,47.60,0.00,0.00,MATERIAIS BÁSICOS,QUÍMICOS,PETROQUÍMICOS,4820,42.150.391/0001-70,BRASKEM S.A.,---,---,BRKM
BRKM5,BRASKEM PNA,BRBRKMACNPA4,AÇÃO,48.95,0.63,1.30,MATERIAIS BÁSICOS,QUÍMICOS,PETROQUÍMICOS,4820,42.150.391/0001-70,BRASKEM S.A.,---,---,BRKM
BRKM6,BRASKEM PNB,BRBRKMACNPB2,AÇÃO,50.40,0.00,0.00,MATERIAIS BÁSICOS,QUÍMICOS,PETROQUÍMICOS,4820,42.150.391/0001-70,BRASKEM S.A.,---,---,BRKM
BRML3,BR MALLS PAR ON,BRBRMLACNOR9,AÇÃO,12.24,0.01,0.08,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,19909,06.977.745/0001-91,BR MALLS PARTICIPACOES S.A.,---,---,BRML
BRPR3,BR PROPERT ON,BRBRPRACNOR9,AÇÃO,8.29,-0.11,-1.31,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,19925,06.977.751/0001-49,BR PROPERTIES S.A.,---,---,BRPR
BRSR3,BANRISUL ON,BRBRSRACNOR3,AÇÃO,22.58,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1210,92.702.067/0001-96,BCO ESTADO DO RIO GRANDE DO SUL S.A.,---,---,BRSR
BRSR5,BANRISUL PNA,BRBRSRACNPA6,AÇÃO,26.30,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1210,92.702.067/0001-96,BCO ESTADO DO RIO GRANDE DO SUL S.A.,---,---,BRSR
BRSR6,BANRISUL PNB,BRBRSRACNPB4,AÇÃO,23.00,0.07,0.31,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1210,92.702.067/0001-96,BCO ESTADO DO RIO GRANDE DO SUL S.A.,---,---,BRSR
BSEV3,BIOSEV ON,BRBSEVACNOR3,AÇÃO,2.55,0.00,0.00,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,AÇUCAR E ALCOOL,22845,15.527.906/0001-36,BIOSEV S.A.,---,---,BSEV
BSLI3,BRB BANCO ON,BRBSLIACNOR5,AÇÃO,34.01,0.60,1.79,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,14206,00.000.208/0001-00,BRB BCO DE BRASILIA S.A.,---,---,BSLI
BSLI4,BRB BANCO PN,BRBSLIACNPR2,AÇÃO,42.01,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,14206,00.000.208/0001-00,BRB BCO DE BRASILIA S.A.,---,---,BSLI
BTOW3,B2W DIGITAL ON,BRBTOWACNOR8,AÇÃO,37.21,-0.69,-1.82,CONSUMO CÍCLICO,COMÉRCIO,PRODUTOS DIVERSOS,20990,00.776.574/0001-56,B2W - COMPANHIA DIGITAL,---,---,BTOW
BTTL3,BATTISTELLA ON,BRBTTLACNOR0,AÇÃO,3.74,0.05,1.36,FINANCEIRO,HOLDINGS DIVERSIFICADAS,HOLDINGS DIVERSIFICADAS,15458,42.331.462/0001-31,BATTISTELLA ADM PARTICIPACOES S.A.,---,---,BTTL
CALI3,CONST A LIND ON,BRCALIACNOR1,AÇÃO,98.18,0.00,0.00,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,4723,61.022.042/0001-18,CONSTRUTORA ADOLPHO LINDENBERG S.A.,---,---,CALI
CALI4,CONST A LIND PN,BRCALIACNPR8,AÇÃO,75.00,0.00,0.00,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,4723,61.022.042/0001-18,CONSTRUTORA ADOLPHO LINDENBERG S.A.,---,---,CALI
CAMB4,CAMBUCI PN,BRCAMBACNPR1,AÇÃO,32.90,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,CALÇADOS,2100,61.088.894/0001-08,CAMBUCI S.A.,---,---,CAMB
CAML3,CAMIL ON,BRCAMLACNOR3,AÇÃO,7.11,0.03,0.42,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,ALIMENTOS DIVERSOS,24228,64.904.295/0001-03,CAMIL ALIMENTOS S.A.,---,---,CAML
CARD3,CSU CARDSYST ON,BRCARDACNOR9,AÇÃO,6.54,-0.05,-0.76,BENS INDUSTRIAIS,SERVIÇOS,SERVIÇOS DIVERSOS,20044,01.896.779/0001-38,CSU CARDSYSTEM S.A.,---,---,CARD
CASN3,CASAN ON,BRCASNACNOR6,AÇÃO,20.00,11.99,149.69,UTILIDADE PÚBLICA,ÁGUA E SANEAMENTO,ÁGUA E SANEAMENTO,16861,82.508.433/0001-17,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,---,---,CASN
CASN4,CASAN PN,BRCASNACNPR3,AÇÃO,12.02,0.00,0.00,UTILIDADE PÚBLICA,ÁGUA E SANEAMENTO,ÁGUA E SANEAMENTO,16861,82.508.433/0001-17,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,---,---,CASN
CBEE3,AMPLA ENERG ON,BRCBEEACNOR3,AÇÃO,22.90,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,3050,33.050.071/0001-58,AMPLA ENERGIA E SERVICOS S.A.,---,---,CBEE
CCPR3,CYRE COM-CCP ON,BRCCPRACNOR9,AÇÃO,12.22,-0.27,-2.16,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,21040,08.801.621/0001-86,CYRELA COMMERCIAL PROPERT S.A. EMPR PART,---,---,CCPR
CCRO3,CCR SA ON,BRCCROACNOR2,AÇÃO,11.71,-0.27,-2.25,BENS INDUSTRIAIS,TRANSPORTE,EXPLORAÇÃO DE RODOVIAS,18821,02.846.056/0001-97,CCR S.A.,---,---,CCRO
CCXC3,CCX CARVAO ON,BRCCXCACNOR5,AÇÃO,2.50,-0.18,-6.72,OUTROS,OUTROS,OUTROS,20184,07.950.674/0001-04,CCX CARVÃO DA COLÔMBIA S.A.,---,---,CCXC
CEBR3,CEB ON,BRCEBRACNOR5,AÇÃO,46.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14451,00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,---,---,CEBR
CEBR5,CEB PNA,BRCEBRACNPA8,AÇÃO,31.32,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14451,00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,---,---,CEBR
CEBR6,CEB PNB,BRCEBRACNPB6,AÇÃO,21.99,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14451,00.070.698/0001-11,CIA ENERGETICA DE BRASILIA,---,---,CEBR
CEDO3,CEDRO ON,BRCEDOACNOR8,AÇÃO,6.00,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,3077,17.245.234/0001-00,CIA FIACAO TECIDOS CEDRO CACHOEIRA,---,---,CEDO
CEDO4,CEDRO PN,BRCEDOACNPR5,AÇÃO,6.00,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,3077,17.245.234/0001-00,CIA FIACAO TECIDOS CEDRO CACHOEIRA,---,---,CEDO
CEEB3,COELBA ON,BRCEEBACNOR3,AÇÃO,31.00,0.99,3.28,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14524,15.139.629/0001-94,CIA ELETRICIDADE EST. DA BAHIA - COELBA,---,---,CEEB
CEEB5,COELBA PNA,BRCEEBACNPA6,AÇÃO,31.51,0.99,3.23,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14524,15.139.629/0001-94,CIA ELETRICIDADE EST. DA BAHIA - COELBA,---,---,CEEB
CEED3,CEEE-D ON,BRCEEDACNOR9,AÇÃO,100.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,20648,08.467.115/0001-00,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,---,---,CEED
CEED4,CEEE-D PN,BRCEEDACNPR6,AÇÃO,100.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,20648,08.467.115/0001-00,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,---,---,CEED
CEGR3,CEG ON,BRCEGRACNOR4,AÇÃO,48.00,0.00,0.00,UTILIDADE PÚBLICA,GÁS,GÁS,16616,33.938.119/0001-69,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,---,---,CEGR
CELP3,CELPA ON,BRCELPACNOR8,AÇÃO,2.23,0.04,1.83,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18309,04.895.728/0001-80,CENTRAIS ELET DO PARA S.A. - CELPA,---,---,CELP
